nome_produto,preco_produto,quantidade_vendida,nome_vendedor,status_vendedor,reputacao_cor,reviews_nota_media,reviews_quantidade_total,reviews_5_estrelas_pct,reviews_4_estrelas_pct,reviews_3_estrelas_pct,reviews_2_estrelas_pct,reviews_1_estrelas_pct,url_produto
Cartucho Hp 662xl Preto 1616 2516 2646 3516 4646,"169,29",0,E20250710102551,+25 vendas,Verde,4.7,145,84.14,8.28,1.38,1.38,4.83,https://www.mercadolivre.com.br/cartucho-hp-662xl-preto-1616-2516-2646-3516-4646/p/MLB36766826#polycard_client=search-nordic&search_layout=grid&position=18&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB4185923011&sid=search
Cartucho Hp Cz104ab 662 Tricolor 2ml,"78,44",0,MegaByteMagazine,MercadoLíder,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/cartucho-hp-cz104ab-662-tricolor-2ml/up/MLBU2650141529#polycard_client=search-nordic&search_layout=grid&position=35&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB3894897497&sid=search
Cartucho Hp Cz106ab N 662xl Tricolor,"155,90",1000,MegastoreBr77,+100 vendas,Verde,4.7,145,84.14,8.28,1.38,1.38,4.83,https://www.mercadolivre.com.br/cartucho-hp-cz106ab-n-662xl-tricolor/p/MLB36789684#polycard_client=search-nordic&search_layout=grid&position=46&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB4165593255&sid=search
Cartucho Tinta Hp 662 Colorido Advantage,"77,10",0,Economize,MercadoLíder,Verde,4.7,477,83.86,10.06,1.26,0.42,4.4,https://www.mercadolivre.com.br/cartucho-tinta-hp-662-colorido-advantage/p/MLB37002235#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5687181130&sid=search
Cartucho Tinta Hp 662 Preto E Colorido Advantage,"157,97",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.7,238,84.87,8.4,2.52,1.68,2.52,https://www.mercadolivre.com.br/cartucho-tinta-hp-662-preto-e-colorido-advantage/p/MLB39023322#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB3861763455&sid=search
Cartucho Tinta Original Hp 662 Preto Deskjet 2646 1516 4646,"67,99",100,OBERO INFORMATICA,MercadoLíder,Verde,4.5,24,83.33,4.17,0.0,4.17,8.33,https://www.mercadolivre.com.br/cartucho-tinta-original-hp-662-preto-deskjet-2646-1516-4646/up/MLBU1107866895#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB2685158595&sid=search
Hp Ink Cartridges 2x 662xl Preto / Black Cz105ab,"212,90",1000,Park Ecom,+50mil vendas,Verde,4.3,66,75.76,6.06,3.03,3.03,12.12,https://www.mercadolivre.com.br/hp-ink-cartridges-2x-662xl-preto-black-cz105ab/p/MLB48643172#polycard_client=search-nordic&search_layout=grid&position=40&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5356295280&sid=search
Kit 2 Cartuchos Hp 662 Pretos Original 2516 3516 3546 4646,"154,90",100,OBERO INFORMATICA,MercadoLíder,Verde,4.5,35,77.14,11.43,0.0,5.71,5.71,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-662-pretos-original-2516-3516-3546-4646/up/MLBU756304302#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB2901452312&sid=search
Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color,"164,90",0,CASAPRINT SPEED,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5277946158&sid=search
Kit 2 cartuchos Preto e Colorido HP 662 para Impressoras 1516 2515 2516 3515 3516 2546 3546 4646,"162,97",0,Park Ecom,+50mil vendas,Verde,4.6,463,82.94,7.99,3.67,1.08,4.32,https://www.mercadolivre.com.br/kit-2-cartuchos-preto-e-colorido-hp-662-para-impressoras-1516-2515-2516-3515-3516-2546-3546-4646/p/MLB36794457#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB4688529512&sid=search
